ACCIDENT_DATE,SEVERITY,Accident Count
2014-11-30,Serious injury accident,16
2014-12-01,Other injury accident,25
2014-12-01,Serious injury accident,13
2014-12-02,Other injury accident,30
2014-12-02,Serious injury accident,8
2014-12-03,Fatal accident,2
2014-12-03,Other injury accident,22
2014-12-03,Serious injury accident,11
2014-12-04,Other injury accident,31
2014-12-04,Serious injury accident,12
2014-12-05,Fatal accident,2
2014-12-05,Other injury accident,23
2014-12-05,Serious injury accident,12
2014-12-06,Other injury accident,24
2014-12-06,Serious injury accident,7
2014-12-07,Fatal accident,1
2014-12-07,Other injury accident,29
2014-12-07,Serious injury accident,13
2014-12-08,Other injury accident,27
2014-12-08,Serious injury accident,12
2014-12-09,Other injury accident,22
2014-12-09,Serious injury accident,13
2014-12-10,Other injury accident,28
2014-12-10,Serious injury accident,14
2014-12-11,Other injury accident,27
2014-12-11,Serious injury accident,12
2014-12-12,Other injury accident,27
2014-12-12,Serious injury accident,19
2014-12-13,Fatal accident,1
2014-12-13,Other injury accident,31
2014-12-13,Serious injury accident,12
2014-12-14,Fatal accident,1
2014-12-14,Other injury accident,16
2014-12-14,Serious injury accident,18
2014-12-15,Fatal accident,1
2014-12-15,Other injury accident,30
2014-12-15,Serious injury accident,15
2014-12-16,Other injury accident,24
2014-12-16,Serious injury accident,13
2014-12-17,Fatal accident,1
2014-12-17,Other injury accident,40
2014-12-17,Serious injury accident,15
2014-12-18,Other injury accident,43
2014-12-18,Serious injury accident,21
2014-12-19,Other injury accident,25
2014-12-19,Serious injury accident,15
2014-12-20,Other injury accident,33
2014-12-20,Serious injury accident,18
2014-12-21,Other injury accident,16
2014-12-21,Serious injury accident,13
2014-12-22,Fatal accident,1
2014-12-22,Other injury accident,32
2014-12-22,Serious injury accident,9
2014-12-23,Other injury accident,31
2014-12-23,Serious injury accident,13
2014-12-24,Other injury accident,16
2014-12-24,Serious injury accident,12
2014-12-25,Other injury accident,7
2014-12-25,Serious injury accident,8
2014-12-26,Fatal accident,1
2014-12-26,Other injury accident,21
2014-12-26,Serious injury accident,8
2014-12-27,Other injury accident,25
2014-12-27,Serious injury accident,12
2014-12-28,Fatal accident,1
2014-12-28,Other injury accident,20
2014-12-28,Serious injury accident,12
2014-12-29,Fatal accident,1
2014-12-29,Other injury accident,19
2014-12-29,Serious injury accident,13
2014-12-30,Other injury accident,12
2014-12-30,Serious injury accident,9
2014-12-31,Other injury accident,24
2014-12-31,Serious injury accident,5
2015-01-01,Fatal accident,2
2015-01-01,Other injury accident,13
2015-01-01,Serious injury accident,11
2015-01-02,Other injury accident,27
2015-01-02,Serious injury accident,8
2015-01-03,Other injury accident,21
2015-01-03,Serious injury accident,9
2015-01-04,Other injury accident,17
2015-01-04,Serious injury accident,13
2015-01-05,Fatal accident,1
2015-01-05,Other injury accident,19
2015-01-05,Serious injury accident,8
2015-01-06,Other injury accident,32
2015-01-06,Serious injury accident,11
2015-01-07,Fatal accident,1
2015-01-07,Other injury accident,27
2015-01-07,Serious injury accident,16
2015-01-08,Other injury accident,28
2015-01-08,Serious injury accident,19
2015-01-09,Other injury accident,38
2015-01-09,Serious injury accident,10
2015-01-10,Fatal accident,1
2015-01-10,Other injury accident,26
2015-01-10,Serious injury accident,9
2015-01-11,Fatal accident,2
2015-01-11,Other injury accident,22
2015-01-11,Serious injury accident,9
2015-01-12,Fatal accident,2
2015-01-12,Other injury accident,36
2015-01-12,Serious injury accident,15
2015-01-13,Fatal accident,1
2015-01-13,Other injury accident,43
2015-01-13,Serious injury accident,11
2015-01-14,Other injury accident,25
2015-01-14,Serious injury accident,7
2015-01-15,Fatal accident,1
2015-01-15,Other injury accident,29
2015-01-15,Serious injury accident,7
2015-01-16,Fatal accident,2
2015-01-16,Other injury accident,23
2015-01-16,Serious injury accident,9
2015-01-17,Other injury accident,22
2015-01-17,Serious injury accident,16
2015-01-18,Other injury accident,19
2015-01-18,Serious injury accident,13
2015-01-19,Fatal accident,1
2015-01-19,Other injury accident,21
2015-01-19,Serious injury accident,18
2015-01-20,Fatal accident,1
2015-01-20,Other injury accident,21
2015-01-20,Serious injury accident,17
2015-01-21,Other injury accident,26
2015-01-21,Serious injury accident,8
2015-01-22,Other injury accident,31
2015-01-22,Serious injury accident,15
2015-01-23,Other injury accident,22
2015-01-23,Serious injury accident,19
2015-01-24,Other injury accident,28
2015-01-24,Serious injury accident,13
2015-01-25,Other injury accident,24
2015-01-25,Serious injury accident,10
2015-01-26,Fatal accident,1
2015-01-26,Other injury accident,13
2015-01-26,Serious injury accident,16
2015-01-27,Fatal accident,1
2015-01-27,Other injury accident,28
2015-01-27,Serious injury accident,6
2015-01-28,Fatal accident,2
2015-01-28,Other injury accident,31
2015-01-28,Serious injury accident,11
2015-01-29,Fatal accident,1
2015-01-29,Other injury accident,29
2015-01-29,Serious injury accident,6
2015-01-30,Other injury accident,22
2015-01-30,Serious injury accident,16
2015-01-31,Fatal accident,1
2015-01-31,Other injury accident,28
2015-01-31,Serious injury accident,1
2015-02-01,Fatal accident,1
2015-02-01,Other injury accident,24
2015-02-01,Serious injury accident,12
2015-02-02,Fatal accident,2
2015-02-02,Other injury accident,20
2015-02-02,Serious injury accident,8
2015-02-03,Other injury accident,32
2015-02-03,Serious injury accident,6
2015-02-04,Fatal accident,1
2015-02-04,Other injury accident,24
2015-02-04,Serious injury accident,6
2015-02-05,Fatal accident,1
2015-02-05,Other injury accident,44
2015-02-05,Serious injury accident,10
2015-02-06,Fatal accident,1
2015-02-06,Other injury accident,34
2015-02-06,Serious injury accident,17
2015-02-07,Fatal accident,1
2015-02-07,Other injury accident,21
2015-02-07,Serious injury accident,15
2015-02-08,Other injury accident,22
2015-02-08,Serious injury accident,18
2015-02-09,Other injury accident,24
2015-02-09,Serious injury accident,13
2015-02-10,Other injury accident,35
2015-02-10,Serious injury accident,13
2015-02-11,Fatal accident,1
2015-02-11,Other injury accident,33
2015-02-11,Serious injury accident,13
2015-02-12,Other injury accident,40
2015-02-12,Serious injury accident,10
2015-02-13,Other injury accident,29
2015-02-13,Serious injury accident,14
2015-02-14,Other injury accident,26
2015-02-14,Serious injury accident,19
2015-02-15,Fatal accident,1
2015-02-15,Other injury accident,30
2015-02-15,Serious injury accident,14
2015-02-16,Fatal accident,1
2015-02-16,Other injury accident,30
2015-02-16,Serious injury accident,12
2015-02-17,Fatal accident,2
2015-02-17,Other injury accident,29
2015-02-17,Serious injury accident,8
2015-02-18,Other injury accident,24
2015-02-18,Serious injury accident,9
2015-02-19,Other injury accident,31
2015-02-19,Serious injury accident,9
2015-02-20,Fatal accident,2
2015-02-20,Other injury accident,30
2015-02-20,Serious injury accident,11
2015-02-21,Fatal accident,1
2015-02-21,Other injury accident,28
2015-02-21,Serious injury accident,12
2015-02-22,Other injury accident,19
2015-02-22,Serious injury accident,11
2015-02-23,Other injury accident,21
2015-02-23,Serious injury accident,12
2015-02-24,Other injury accident,17
2015-02-24,Serious injury accident,13
2015-02-25,Other injury accident,33
2015-02-25,Serious injury accident,11
2015-02-26,Other injury accident,31
2015-02-26,Serious injury accident,17
2015-02-27,Fatal accident,2
2015-02-27,Other injury accident,34
2015-02-27,Serious injury accident,13
2015-02-28,Fatal accident,1
2015-02-28,Other injury accident,23
2015-02-28,Serious injury accident,17
2015-03-01,Fatal accident,1
2015-03-01,Other injury accident,25
2015-03-01,Serious injury accident,12
2015-03-02,Other injury accident,31
2015-03-02,Serious injury accident,11
2015-03-03,Other injury accident,34
2015-03-03,Serious injury accident,15
2015-03-04,Other injury accident,39
2015-03-04,Serious injury accident,14
2015-03-05,Fatal accident,1
2015-03-05,Other injury accident,32
2015-03-05,Serious injury accident,13
2015-03-06,Other injury accident,32
2015-03-06,Serious injury accident,18
2015-03-07,Fatal accident,3
2015-03-07,Other injury accident,30
2015-03-07,Serious injury accident,13
2015-03-08,Fatal accident,1
2015-03-08,Other injury accident,22
2015-03-08,Serious injury accident,13
2015-03-09,Fatal accident,1
2015-03-09,Other injury accident,15
2015-03-09,Serious injury accident,7
2015-03-10,Other injury accident,29
2015-03-10,Serious injury accident,13
2015-03-11,Fatal accident,2
2015-03-11,Other injury accident,33
2015-03-11,Serious injury accident,11
2015-03-12,Fatal accident,1
2015-03-12,Other injury accident,25
2015-03-12,Serious injury accident,11
2015-03-13,Fatal accident,2
2015-03-13,Other injury accident,27
2015-03-13,Serious injury accident,12
2015-03-14,Other injury accident,36
2015-03-14,Serious injury accident,9
2015-03-15,Other injury accident,26
2015-03-15,Serious injury accident,20
2015-03-16,Other injury accident,25
2015-03-16,Serious injury accident,12
2015-03-17,Fatal accident,1
2015-03-17,Other injury accident,32
2015-03-17,Serious injury accident,9
2015-03-18,Other injury accident,29
2015-03-18,Serious injury accident,11
2015-03-19,Other injury accident,34
2015-03-19,Serious injury accident,17
2015-03-20,Other injury accident,36
2015-03-20,Serious injury accident,14
2015-03-21,Other injury accident,31
2015-03-21,Serious injury accident,16
2015-03-22,Fatal accident,1
2015-03-22,Other injury accident,20
2015-03-22,Serious injury accident,19
2015-03-23,Other injury accident,33
2015-03-23,Serious injury accident,11
2015-03-24,Other injury accident,30
2015-03-24,Serious injury accident,13
2015-03-25,Fatal accident,1
2015-03-25,Other injury accident,40
2015-03-25,Serious injury accident,13
2015-03-26,Other injury accident,27
2015-03-26,Serious injury accident,14
2015-03-27,Fatal accident,1
2015-03-27,Other injury accident,27
2015-03-27,Serious injury accident,14
2015-03-28,Other injury accident,24
2015-03-28,Serious injury accident,23
2015-03-29,Fatal accident,1
2015-03-29,Other injury accident,26
2015-03-29,Serious injury accident,15
2015-03-30,Fatal accident,2
2015-03-30,Other injury accident,30
2015-03-30,Serious injury accident,13
2015-03-31,Other injury accident,34
2015-03-31,Serious injury accident,11
2015-04-01,Other injury accident,29
2015-04-01,Serious injury accident,11
2015-04-02,Other injury accident,33
2015-04-02,Serious injury accident,9
2015-04-03,Other injury accident,37
2015-04-03,Serious injury accident,16
2015-04-04,Fatal accident,1
2015-04-04,Other injury accident,20
2015-04-04,Serious injury accident,15
2015-04-05,Other injury accident,20
2015-04-05,Serious injury accident,7
2015-04-06,Fatal accident,3
2015-04-06,Other injury accident,18
2015-04-06,Serious injury accident,11
2015-04-07,Fatal accident,1
2015-04-07,Other injury accident,29
2015-04-07,Serious injury accident,14
2015-04-08,Other injury accident,19
2015-04-08,Serious injury accident,11
2015-04-09,Other injury accident,24
2015-04-09,Serious injury accident,23
2015-04-10,Fatal accident,1
2015-04-10,Other injury accident,23
2015-04-10,Serious injury accident,12
2015-04-11,Fatal accident,1
2015-04-11,Other injury accident,34
2015-04-11,Serious injury accident,13
2015-04-12,Other injury accident,29
2015-04-12,Serious injury accident,5
2015-04-13,Fatal accident,1
2015-04-13,Other injury accident,22
2015-04-13,Serious injury accident,10
2015-04-14,Fatal accident,1
2015-04-14,Other injury accident,34
2015-04-14,Serious injury accident,18
2015-04-15,Fatal accident,1
2015-04-15,Other injury accident,44
2015-04-15,Serious injury accident,8
2015-04-16,Fatal accident,1
2015-04-16,Other injury accident,30
2015-04-16,Serious injury accident,15
2015-04-17,Fatal accident,1
2015-04-17,Other injury accident,59
2015-04-17,Serious injury accident,17
2015-04-18,Other injury accident,31
2015-04-18,Serious injury accident,18
2015-04-19,Fatal accident,2
2015-04-19,Other injury accident,23
2015-04-19,Serious injury accident,14
2015-04-20,Other injury accident,29
2015-04-20,Serious injury accident,8
2015-04-21,Non injury accident,1
2015-04-21,Other injury accident,31
2015-04-21,Serious injury accident,13
2015-04-22,Fatal accident,1
2015-04-22,Other injury accident,27
2015-04-22,Serious injury accident,8
2015-04-23,Other injury accident,27
2015-04-23,Serious injury accident,8
2015-04-24,Fatal accident,1
2015-04-24,Other injury accident,35
2015-04-24,Serious injury accident,14
2015-04-25,Fatal accident,1
2015-04-25,Other injury accident,27
2015-04-25,Serious injury accident,16
2015-04-26,Fatal accident,1
2015-04-26,Other injury accident,13
2015-04-26,Serious injury accident,7
2015-04-27,Fatal accident,1
2015-04-27,Other injury accident,21
2015-04-27,Serious injury accident,11
2015-04-28,Other injury accident,22
2015-04-28,Serious injury accident,7
2015-04-29,Other injury accident,36
2015-04-29,Serious injury accident,13
2015-04-30,Other injury accident,34
2015-04-30,Serious injury accident,11
2015-05-01,Other injury accident,39
2015-05-01,Serious injury accident,9
2015-05-02,Fatal accident,1
2015-05-02,Other injury accident,26
2015-05-02,Serious injury accident,11
2015-05-03,Fatal accident,1
2015-05-03,Other injury accident,32
2015-05-03,Serious injury accident,11
2015-05-04,Other injury accident,21
2015-05-04,Serious injury accident,12
2015-05-05,Other injury accident,21
2015-05-05,Serious injury accident,11
2015-05-06,Other injury accident,43
2015-05-06,Serious injury accident,7
2015-05-07,Fatal accident,1
2015-05-07,Other injury accident,32
2015-05-07,Serious injury accident,9
2015-05-08,Other injury accident,30
2015-05-08,Serious injury accident,17
2015-05-09,Fatal accident,2
2015-05-09,Other injury accident,30
2015-05-09,Serious injury accident,13
2015-05-10,Fatal accident,2
2015-05-10,Other injury accident,19
2015-05-10,Serious injury accident,8
2015-05-11,Other injury accident,23
2015-05-11,Serious injury accident,11
2015-05-12,Fatal accident,1
2015-05-12,Other injury accident,21
2015-05-12,Serious injury accident,7
2015-05-13,Fatal accident,1
2015-05-13,Other injury accident,28
2015-05-13,Serious injury accident,10
2015-05-14,Fatal accident,1
2015-05-14,Other injury accident,34
2015-05-14,Serious injury accident,13
2015-05-15,Other injury accident,28
2015-05-15,Serious injury accident,10
2015-05-16,Fatal accident,1
2015-05-16,Other injury accident,36
2015-05-16,Serious injury accident,19
2015-05-17,Other injury accident,33
2015-05-17,Serious injury accident,9
2015-05-18,Other injury accident,43
2015-05-18,Serious injury accident,12
2015-05-19,Other injury accident,44
2015-05-19,Serious injury accident,9
2015-05-20,Fatal accident,2
2015-05-20,Other injury accident,34
2015-05-20,Serious injury accident,20
2015-05-21,Fatal accident,1
2015-05-21,Other injury accident,37
2015-05-21,Serious injury accident,4
2015-05-22,Other injury accident,34
2015-05-22,Serious injury accident,6
2015-05-23,Fatal accident,1
2015-05-23,Other injury accident,18
2015-05-23,Serious injury accident,17
2015-05-24,Other injury accident,25
2015-05-24,Serious injury accident,11
2015-05-25,Fatal accident,1
2015-05-25,Other injury accident,35
2015-05-25,Serious injury accident,9
2015-05-26,Other injury accident,31
2015-05-26,Serious injury accident,8
2015-05-27,Other injury accident,29
2015-05-27,Serious injury accident,9
2015-05-28,Other injury accident,41
2015-05-28,Serious injury accident,12
2015-05-29,Fatal accident,2
2015-05-29,Other injury accident,28
2015-05-29,Serious injury accident,7
2015-05-30,Fatal accident,2
2015-05-30,Other injury accident,27
2015-05-30,Serious injury accident,9
2015-05-31,Other injury accident,26
2015-05-31,Serious injury accident,8
2015-06-01,Other injury accident,31
2015-06-01,Serious injury accident,8
2015-06-02,Other injury accident,18
2015-06-02,Serious injury accident,9
2015-06-03,Other injury accident,27
2015-06-03,Serious injury accident,17
2015-06-04,Fatal accident,1
2015-06-04,Other injury accident,33
2015-06-04,Serious injury accident,14
2015-06-05,Fatal accident,1
2015-06-05,Other injury accident,32
2015-06-05,Serious injury accident,6
2015-06-06,Fatal accident,1
2015-06-06,Other injury accident,28
2015-06-06,Serious injury accident,11
2015-06-07,Fatal accident,1
2015-06-07,Other injury accident,17
2015-06-07,Serious injury accident,10
2015-06-08,Other injury accident,17
2015-06-08,Serious injury accident,7
2015-06-09,Other injury accident,23
2015-06-09,Serious injury accident,6
2015-06-10,Other injury accident,26
2015-06-10,Serious injury accident,8
2015-06-11,Fatal accident,2
2015-06-11,Other injury accident,33
2015-06-11,Serious injury accident,8
2015-06-12,Fatal accident,1
2015-06-12,Other injury accident,38
2015-06-12,Serious injury accident,13
2015-06-13,Fatal accident,1
2015-06-13,Other injury accident,25
2015-06-13,Serious injury accident,13
2015-06-14,Other injury accident,18
2015-06-14,Serious injury accident,12
2015-06-15,Fatal accident,1
2015-06-15,Other injury accident,21
2015-06-15,Serious injury accident,12
2015-06-16,Other injury accident,24
2015-06-16,Serious injury accident,2
2015-06-17,Fatal accident,2
2015-06-17,Other injury accident,32
2015-06-17,Serious injury accident,10
2015-06-18,Other injury accident,31
2015-06-18,Serious injury accident,16
2015-06-19,Fatal accident,1
2015-06-19,Other injury accident,29
2015-06-19,Serious injury accident,16
2015-06-20,Other injury accident,23
2015-06-20,Serious injury accident,14
2015-06-21,Other injury accident,23
2015-06-21,Serious injury accident,14
2015-06-22,Other injury accident,27
2015-06-22,Serious injury accident,19
2015-06-23,Other injury accident,20
2015-06-23,Serious injury accident,8
2015-06-24,Fatal accident,1
2015-06-24,Other injury accident,30
2015-06-24,Serious injury accident,7
2015-06-25,Fatal accident,1
2015-06-25,Other injury accident,13
2015-06-25,Serious injury accident,10
2015-06-26,Fatal accident,2
2015-06-26,Other injury accident,35
2015-06-26,Serious injury accident,9
2015-06-27,Fatal accident,1
2015-06-27,Other injury accident,21
2015-06-27,Serious injury accident,5
2015-06-28,Other injury accident,15
2015-06-28,Serious injury accident,9
2015-06-29,Other injury accident,20
2015-06-29,Serious injury accident,7
2015-06-30,Fatal accident,2
2015-06-30,Other injury accident,15
2015-06-30,Serious injury accident,7
2015-07-01,Fatal accident,1
2015-07-01,Other injury accident,30
2015-07-01,Serious injury accident,12
2015-07-02,Fatal accident,1
2015-07-02,Other injury accident,31
2015-07-02,Serious injury accident,7
2015-07-03,Fatal accident,1
2015-07-03,Other injury accident,24
2015-07-03,Serious injury accident,12
2015-07-04,Fatal accident,1
2015-07-04,Other injury accident,35
2015-07-04,Serious injury accident,7
2015-07-05,Fatal accident,1
2015-07-05,Other injury accident,22
2015-07-05,Serious injury accident,4
2015-07-06,Other injury accident,27
2015-07-06,Serious injury accident,7
2015-07-07,Fatal accident,1
2015-07-07,Other injury accident,31
2015-07-07,Serious injury accident,10
2015-07-08,Other injury accident,32
2015-07-08,Serious injury accident,11
2015-07-09,Other injury accident,19
2015-07-09,Serious injury accident,10
2015-07-10,Other injury accident,36
2015-07-10,Serious injury accident,4
2015-07-11,Fatal accident,1
2015-07-11,Other injury accident,16
2015-07-11,Serious injury accident,15
2015-07-12,Other injury accident,20
2015-07-12,Serious injury accident,6
2015-07-13,Other injury accident,36
2015-07-13,Serious injury accident,6
2015-07-14,Other injury accident,21
2015-07-14,Serious injury accident,13
2015-07-15,Other injury accident,26
2015-07-15,Serious injury accident,5
2015-07-16,Fatal accident,1
2015-07-16,Other injury accident,30
2015-07-16,Serious injury accident,7
2015-07-17,Other injury accident,39
2015-07-17,Serious injury accident,9
2015-07-18,Fatal accident,1
2015-07-18,Other injury accident,20
2015-07-18,Serious injury accident,16
2015-07-19,Other injury accident,25
2015-07-19,Serious injury accident,12
2015-07-20,Fatal accident,1
2015-07-20,Other injury accident,31
2015-07-20,Serious injury accident,13
2015-07-21,Other injury accident,34
2015-07-21,Serious injury accident,12
2015-07-22,Other injury accident,27
2015-07-22,Serious injury accident,6
2015-07-23,Other injury accident,36
2015-07-23,Serious injury accident,14
2015-07-24,Other injury accident,37
2015-07-24,Serious injury accident,15
2015-07-25,Fatal accident,1
2015-07-25,Other injury accident,13
2015-07-25,Serious injury accident,6
2015-07-26,Fatal accident,1
2015-07-26,Other injury accident,15
2015-07-26,Serious injury accident,13
2015-07-27,Other injury accident,22
2015-07-27,Serious injury accident,12
2015-07-28,Other injury accident,35
2015-07-28,Serious injury accident,7
2015-07-29,Fatal accident,1
2015-07-29,Other injury accident,31
2015-07-29,Serious injury accident,14
2015-07-30,Fatal accident,2
2015-07-30,Other injury accident,31
2015-07-30,Serious injury accident,9
2015-07-31,Fatal accident,1
2015-07-31,Other injury accident,43
2015-07-31,Serious injury accident,17
2015-08-01,Fatal accident,1
2015-08-01,Other injury accident,20
2015-08-01,Serious injury accident,11
2015-08-02,Other injury accident,28
2015-08-02,Serious injury accident,7
2015-08-03,Other injury accident,19
2015-08-03,Serious injury accident,8
2015-08-04,Other injury accident,19
2015-08-04,Serious injury accident,8
2015-08-05,Fatal accident,1
2015-08-05,Other injury accident,22
2015-08-05,Serious injury accident,9
2015-08-06,Other injury accident,32
2015-08-06,Serious injury accident,13
2015-08-07,Fatal accident,2
2015-08-07,Other injury accident,27
2015-08-07,Serious injury accident,9
2015-08-08,Fatal accident,1
2015-08-08,Other injury accident,24
2015-08-08,Serious injury accident,9
2015-08-09,Other injury accident,15
2015-08-09,Serious injury accident,10
2015-08-10,Other injury accident,30
2015-08-10,Serious injury accident,7
2015-08-11,Fatal accident,1
2015-08-11,Other injury accident,24
2015-08-11,Serious injury accident,6
2015-08-12,Fatal accident,2
2015-08-12,Other injury accident,33
2015-08-12,Serious injury accident,5
2015-08-13,Fatal accident,1
2015-08-13,Other injury accident,29
2015-08-13,Serious injury accident,5
2015-08-14,Fatal accident,1
2015-08-14,Other injury accident,25
2015-08-14,Serious injury accident,5
2015-08-15,Fatal accident,2
2015-08-15,Other injury accident,22
2015-08-15,Serious injury accident,10
2015-08-16,Fatal accident,1
2015-08-16,Other injury accident,24
2015-08-16,Serious injury accident,11
2015-08-17,Fatal accident,1
2015-08-17,Other injury accident,26
2015-08-17,Serious injury accident,12
2015-08-18,Fatal accident,3
2015-08-18,Other injury accident,24
2015-08-18,Serious injury accident,10
2015-08-19,Other injury accident,28
2015-08-19,Serious injury accident,6
2015-08-20,Fatal accident,2
2015-08-20,Other injury accident,27
2015-08-20,Serious injury accident,5
2015-08-21,Other injury accident,28
2015-08-21,Serious injury accident,10
2015-08-22,Other injury accident,23
2015-08-22,Serious injury accident,13
2015-08-23,Fatal accident,1
2015-08-23,Other injury accident,21
2015-08-23,Serious injury accident,7
2015-08-24,Other injury accident,18
2015-08-24,Serious injury accident,4
2015-08-25,Other injury accident,24
2015-08-25,Serious injury accident,6
2015-08-26,Fatal accident,1
2015-08-26,Other injury accident,24
2015-08-26,Serious injury accident,8
2015-08-27,Fatal accident,1
2015-08-27,Other injury accident,36
2015-08-27,Serious injury accident,8
2015-08-28,Fatal accident,1
2015-08-28,Other injury accident,30
2015-08-28,Serious injury accident,8
2015-08-29,Other injury accident,34
2015-08-29,Serious injury accident,12
2015-08-30,Other injury accident,24
2015-08-30,Serious injury accident,10
2015-08-31,Fatal accident,2
2015-08-31,Other injury accident,19
2015-08-31,Serious injury accident,8
2015-09-01,Other injury accident,26
2015-09-01,Serious injury accident,17
2015-09-02,Other injury accident,20
2015-09-02,Serious injury accident,10
2015-09-03,Other injury accident,23
2015-09-03,Serious injury accident,7
2015-09-04,Fatal accident,1
2015-09-04,Other injury accident,27
2015-09-04,Serious injury accident,9
2015-09-05,Fatal accident,1
2015-09-05,Other injury accident,29
2015-09-05,Serious injury accident,8
2015-09-06,Other injury accident,20
2015-09-06,Serious injury accident,14
2015-09-07,Other injury accident,15
2015-09-07,Serious injury accident,10
2015-09-08,Other injury accident,32
2015-09-08,Serious injury accident,7
2015-09-09,Other injury accident,30
2015-09-09,Serious injury accident,11
2015-09-10,Other injury accident,27
2015-09-10,Serious injury accident,9
2015-09-11,Other injury accident,36
2015-09-11,Serious injury accident,11
2015-09-12,Fatal accident,1
2015-09-12,Other injury accident,24
2015-09-12,Serious injury accident,13
2015-09-13,Fatal accident,2
2015-09-13,Other injury accident,25
2015-09-13,Serious injury accident,12
2015-09-14,Other injury accident,29
2015-09-14,Serious injury accident,9
2015-09-15,Other injury accident,32
2015-09-15,Serious injury accident,6
2015-09-16,Fatal accident,1
2015-09-16,Other injury accident,21
2015-09-16,Serious injury accident,9
2015-09-17,Other injury accident,15
2015-09-17,Serious injury accident,11
2015-09-18,Other injury accident,24
2015-09-18,Serious injury accident,9
2015-09-19,Other injury accident,22
2015-09-19,Serious injury accident,11
2015-09-20,Fatal accident,1
2015-09-20,Other injury accident,27
2015-09-20,Serious injury accident,12
2015-09-21,Other injury accident,17
2015-09-21,Serious injury accident,8
2015-09-22,Fatal accident,1
2015-09-22,Other injury accident,27
2015-09-22,Serious injury accident,6
2015-09-23,Fatal accident,2
2015-09-23,Other injury accident,27
2015-09-23,Serious injury accident,9
2015-09-24,Fatal accident,2
2015-09-24,Other injury accident,18
2015-09-24,Serious injury accident,5
2015-09-25,Fatal accident,1
2015-09-25,Other injury accident,25
2015-09-25,Serious injury accident,14
2015-09-26,Other injury accident,28
2015-09-26,Serious injury accident,10
2015-09-27,Other injury accident,20
2015-09-27,Serious injury accident,10
2015-09-28,Fatal accident,1
2015-09-28,Other injury accident,28
2015-09-28,Serious injury accident,4
2015-09-29,Other injury accident,22
2015-09-29,Serious injury accident,10
2015-09-30,Other injury accident,33
2015-09-30,Serious injury accident,10
2015-10-01,Fatal accident,2
2015-10-01,Other injury accident,32
2015-10-01,Serious injury accident,18
2015-10-02,Other injury accident,21
2015-10-02,Serious injury accident,15
2015-10-03,Fatal accident,1
2015-10-03,Other injury accident,23
2015-10-03,Serious injury accident,12
2015-10-04,Other injury accident,26
2015-10-04,Serious injury accident,11
2015-10-05,Fatal accident,1
2015-10-05,Other injury accident,25
2015-10-05,Serious injury accident,12
2015-10-06,Fatal accident,1
2015-10-06,Other injury accident,35
2015-10-06,Serious injury accident,7
2015-10-07,Fatal accident,2
2015-10-07,Other injury accident,24
2015-10-07,Serious injury accident,8
2015-10-08,Fatal accident,2
2015-10-08,Other injury accident,27
2015-10-08,Serious injury accident,8
2015-10-09,Other injury accident,39
2015-10-09,Serious injury accident,13
2015-10-10,Other injury accident,18
2015-10-10,Serious injury accident,15
2015-10-11,Other injury accident,27
2015-10-11,Serious injury accident,11
2015-10-12,Fatal accident,1
2015-10-12,Other injury accident,27
2015-10-12,Serious injury accident,14
2015-10-13,Other injury accident,35
2015-10-13,Serious injury accident,14
2015-10-14,Fatal accident,1
2015-10-14,Other injury accident,37
2015-10-14,Serious injury accident,16
2015-10-15,Fatal accident,1
2015-10-15,Other injury accident,30
2015-10-15,Serious injury accident,14
2015-10-16,Other injury accident,34
2015-10-16,Serious injury accident,11
2015-10-17,Fatal accident,2
2015-10-17,Other injury accident,31
2015-10-17,Serious injury accident,8
2015-10-18,Fatal accident,1
2015-10-18,Other injury accident,18
2015-10-18,Serious injury accident,8
2015-10-19,Other injury accident,29
2015-10-19,Serious injury accident,9
2015-10-20,Fatal accident,1
2015-10-20,Other injury accident,40
2015-10-20,Serious injury accident,13
2015-10-21,Other injury accident,30
2015-10-21,Serious injury accident,7
2015-10-22,Fatal accident,2
2015-10-22,Other injury accident,39
2015-10-22,Serious injury accident,17
2015-10-23,Fatal accident,2
2015-10-23,Other injury accident,26
2015-10-23,Serious injury accident,10
2015-10-24,Fatal accident,2
2015-10-24,Other injury accident,23
2015-10-24,Serious injury accident,11
2015-10-25,Other injury accident,26
2015-10-25,Serious injury accident,18
2015-10-26,Fatal accident,2
2015-10-26,Other injury accident,33
2015-10-26,Serious injury accident,5
2015-10-27,Other injury accident,23
2015-10-27,Serious injury accident,14
2015-10-28,Fatal accident,1
2015-10-28,Other injury accident,19
2015-10-28,Serious injury accident,10
2015-10-29,Fatal accident,1
2015-10-29,Other injury accident,39
2015-10-29,Serious injury accident,11
2015-10-30,Fatal accident,1
2015-10-30,Other injury accident,30
2015-10-30,Serious injury accident,15
2015-10-31,Other injury accident,26
2015-10-31,Serious injury accident,16
2015-11-01,Other injury accident,27
2015-11-01,Serious injury accident,15
2015-11-02,Fatal accident,1
2015-11-02,Other injury accident,21
2015-11-02,Serious injury accident,12
2015-11-03,Other injury accident,13
2015-11-03,Serious injury accident,10
2015-11-04,Other injury accident,32
2015-11-04,Serious injury accident,11
2015-11-05,Other injury accident,35
2015-11-05,Serious injury accident,11
2015-11-06,Fatal accident,1
2015-11-06,Other injury accident,30
2015-11-06,Serious injury accident,9
2015-11-07,Fatal accident,1
2015-11-07,Other injury accident,21
